#insertionSort
#N	T[ms]		Stdev[ms]	Samples
1000	0.009416	0.000000	#5.000000
2000	0.019300	0.000211	#5.000000
3000	0.027358	0.000100	#5.000000
4000	0.036967	0.001183	#5.000000
5000	0.045633	0.000142	#5.000000
6000	0.054342	0.001559	#5.000000
7000	0.062558	0.000165	#5.000000
8000	0.073066	0.001119	#5.000000
9000	0.088992	0.000555	#5.000000
10000	0.091417	0.001318	#5.000000
